TOKEN                TOKEN TYPE           LINE                
#                    Operator                 1
include              Keyword                  1
<                    Operator                 1
stdio                Identifier               1
.                    Operator                 1
h                    Identifier               1
>                    Operator                 1
int                  Keyword                  2
main                 Keyword                  2
(                    Operator                 2
)                    Operator                 2
{                    Operator                 3
int                  Keyword                  4
x1                   Identifier               4
=                    Operator                 4
10                   Number                   4
int                  Keyword                  5
x2                   Identifier               5
=                    Operator                 5
30                   Number                   5
char                 Keyword                  6
t                    Identifier               6
x1                   Identifier               7
=                    Operator                 7
x1                   Identifier               7
+                    Operator                 7
x2                   Identifier               7
printf               Keyword                  9
(                    Operator                 9
The                  String                   9
sum                  String                   9
is                   String                   9
)                    Operator                 9
printf               Keyword                 10
(                    Operator                10
%                    Operator                10
d                    String                  10
n                    String                  10
,                    Operator                10
x1                   Identifier              10
)                    Operator                10
printf               Keyword                 11
(                    Operator                11
press                String                  11
enter                String                  11
to                   String                  11
continue             String                  11
)                    Operator                11
t                    Identifier              12
=                    Operator                12
getchar              Keyword                 12
(                    Operator                12
)                    Operator                12
return               Keyword                 13
0                    Number                  13
}                    Operator                14
